episode_id,symbol,cik,name,sector,included_in_quality_universe,first_observed_month,last_observed_month,episode_start,episode_end,months_observed,legacy,legacy_class,current_symbols_for_cik,current_ciks_for_symbol,yahoo_symbol,download_error,raw_history_available,first_price_date,last_price_date,warmup_sessions,indicator_warmup_ready,expected_sessions,observed_sessions,session_coverage,terminal_price_present,short_episode_probe,passes
BRK-B|0001067983|0|2019-01|3,BRK-B,0001067983,Berkshire Hathaway,Financials,False,2019-01,2019-02,2019-01-31,2019-02-28,2,True,TICKER_OR_SHARE_CLASS_CHANGED,['BRK.B'],[],BRK-B,,True,2014-09-26,2019-04-09,274,True,20,20,1.0,True,False,True
BWA|0000908255|1|2015-10|1,BWA,0000908255,BorgWarner,Consumer Discretionary,True,2015-10,2025-02,2015-10-31,2025-02-28,113,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BWA,,True,2014-09-26,2025-04-09,277,True,2345,2345,1.0,True,False,True
BXLT|0001620546|1|2015-10|1,BXLT,0001620546,Baxalta,Health Care,True,2015-10,2016-05,2015-10-31,2016-05-31,8,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],BXLT,EMPTY_DOWNLOAD,False,,,0,False,145,0,0.0,False,False,False
CA|0000356028|1|2015-10|1,CA,0000356028,"CA, Inc.",Information Technology,True,2015-10,2018-10,2015-10-31,2018-10-31,37,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CA,EMPTY_DOWNLOAD,False,,,0,False,756,0,0.0,False,False,False
CAG|0000023217|1|2015-10|1,CAG,0000023217,Conagra Brands,Consumer Staples,True,2015-10,2026-05,2015-10-31,2026-05-31,128,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CAG,,True,2014-09-26,2026-07-10,277,True,2658,2658,1.0,True,False,True
CAM|0000941548|1|2015-10|1,CAM,0000941548,Cameron International Corp.,Energy,True,2015-10,2016-03,2015-10-31,2016-03-31,6,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CAM,EMPTY_DOWNLOAD,False,,,0,False,103,0,0.0,False,False,False
CB|0000020171|0|2015-10|1,CB,0000020171,Chubb Corp.,Financials,False,2015-10,2015-12,2015-10-31,2015-12-31,3,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0000896159'],CB,,True,2014-09-26,2016-02-09,277,True,42,42,1.0,True,False,True
CBG|0001138118|0|2015-10|1,CBG,0001138118,CBRE Group,Real Estate,False,2015-10,2018-02,2015-10-31,2018-02-28,29,True,TICKER_OR_SHARE_CLASS_CHANGED,['CBRE'],[],CBG,EMPTY_DOWNLOAD,False,,,0,False,585,0,0.0,False,False,False
CBS|0000813828|1|2015-10|1,CBS,0000813828,CBS Corp.,Communication Services,True,2015-10,2019-11,2015-10-31,2019-11-30,50,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CBS,EMPTY_DOWNLOAD,False,,,0,False,1027,0,0.0,False,False,False
CCE|0001491675|1|2015-10|1,CCE,0001491675,Coca-Cola Enterprises,Consumer Staples,True,2015-10,2016-04,2015-10-31,2016-04-30,7,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CCE,EMPTY_DOWNLOAD,False,,,0,False,124,0,0.0,False,False,False
CDAY|0001725057|1|2021-09|1,CDAY,0001725057,Ceridian,Industrials,True,2021-09,2024-01,2021-09-30,2024-01-31,29,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CDAY,EMPTY_DOWNLOAD,False,,,0,False,587,0,0.0,False,False,False
CE|0001306830|1|2018-12|1,CE,0001306830,Celanese,Materials,True,2018-12,2025-02,2018-12-31,2025-02-28,75,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CE,,True,2017-11-27,2025-04-09,274,True,1550,1550,1.0,True,False,True
CELG|0000816284|1|2015-10|1,CELG,0000816284,Celgene Corp.,Health Care,True,2015-10,2019-10,2015-10-31,2019-10-31,49,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CELG,EMPTY_DOWNLOAD,False,,,0,False,1007,0,0.0,False,False,False
CERN|0000804753|1|2015-10|1,CERN,0000804753,Cerner,Health Care,True,2015-10,2022-05,2015-10-31,2022-05-31,80,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CERN,EMPTY_DOWNLOAD,False,,,0,False,1656,0,0.0,False,False,False
CHK|0000895126|1|2015-10|1,CHK,0000895126,Chesapeake Energy,Energy,True,2015-10,2018-02,2015-10-31,2018-02-28,29,True,TICKER_OR_SHARE_CLASS_CHANGED,['EXE'],[],CHK,EMPTY_DOWNLOAD,False,,,0,False,585,0,0.0,False,False,False
CI|0000701221|1|2015-10|1,CI,0000701221,CIGNA Corp.,Health Care,True,2015-10,2020-08,2015-10-31,2020-08-31,59,True,ENTITY_CHANGED_OR_SYMBOL_REUSED,[],['0001739940'],CI,,True,2014-09-26,2020-10-09,277,True,1216,1216,1.0,True,False,True
CMA|0000028412|0|2015-10|1,CMA,0000028412,Comerica,Financials,False,2015-10,2024-05,2015-10-31,2024-05-31,104,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CMA,EMPTY_DOWNLOAD,False,,,0,False,2159,0,0.0,False,False,False
CMCSK|0001166691|1|2015-10|1,CMCSK,0001166691,Comcast Special Corp Class A,Consumer Discretionary,True,2015-10,2015-11,2015-10-31,2015-11-30,2,True,TICKER_OR_SHARE_CLASS_CHANGED,['CMCSA'],[],CMCSK,EMPTY_DOWNLOAD,False,,,0,False,20,0,0.0,False,False,False
CNX|0001070412|1|2015-10|1,CNX,0001070412,CONSOL Energy Inc.,Energy,True,2015-10,2016-02,2015-10-31,2016-02-29,5,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],CNX,,True,2014-09-26,2016-04-08,277,True,81,81,1.0,True,False,True
