month,month_end,symbols,names,sector,mapped_cik,mapping_method,status,resolved,provenance_complete,ratio,financial_period_end,filed,accession,form
2009-01,2009-01-31,DVA,DaVita Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DF,Dean Foods,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DE,Deere & Co.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DELL,Dell Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DVN,Devon Energy Corp.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DTV,DIRECTV Group Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,RRD,Donnelley (R.R.) & Sons,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DOV,Dover Corp.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DOW,Dow Chemical,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DD,Du Pont (E.I.),Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,DNB,Dun & Bradstreet,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EMN,Eastman Chemical,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EK,Eastman Kodak,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ETN,Eaton Corp.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EBAY,eBay Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ECL,Ecolab Inc.,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EP,El Paso Corp.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ERTS,Electronic Arts,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EQ,Embarq Corporation,Telecommunications Services,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EMC,EMC Corp.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,EMR,Emerson Electric,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
